,equal_weight,erc,inverse_vol,mvo,mvo_ls
commodity,0.11102790380087812,0.10526305638474126,0.032384744482984826,0.00022601426706454598,-0.06954752577079737
credit,0.0424387046333635,0.10526319559801925,0.15771025190483295,1.3224010961646747e-08,-4.278606138437968e-09
duration,0.048349129147542205,0.1578942426756443,0.19942789348636006,9.691130386038739e-09,-0.02945012608425419
intl_equity,0.23212679296990335,0.1052632140861201,0.14497439209498644,0.28358588135689317,0.39033144044613133
reit,0.048762256434697115,0.052631617750145555,0.05983860855283682,0.03791216897931876,0.024386993871150602
us_sector,0.5172952130136157,0.47368467350532933,0.405664109477999,0.6782759124815824,0.6842792218163756
