optimizer,freq,turnover_lambda,cagr,ann_vol,sharpe,sortino,calmar,max_drawdown,ann_turnover,cost_drag
mvo,B,0.0,0.05654278723856643,0.13363318225799886,0.47863422485445895,0.6509940485986884,0.24044852735859404,-0.2351554732304144,96.61744903795011,0.048308724518975055
mvo,B,1e-05,0.05701131923682312,0.13364822707343504,0.48191331851959923,0.6555561060719854,0.2429728588421814,-0.2346406899457597,95.89222401234665,0.04794611200617332
mvo,B,3e-05,0.05796054791175953,0.13367049863371577,0.48857175232064887,0.6648136431137381,0.24815678503607505,-0.2335642279671446,94.45202752501005,0.047226013762505015
mvo,B,0.0001,0.06088839409754221,0.13374563119454033,0.5090401959291047,0.6932165643939288,0.26474056621592174,-0.22999268668135198,89.84059100914428,0.04492029550457214
mvo,B,0.0003,0.06868005898379614,0.13402180797477367,0.5628851405212117,0.7675830972606186,0.31063914963011474,-0.22109273433685062,78.30284952671462,0.03915142476335731
mvo,B,0.001,0.08670730305451646,0.13494181794210167,0.6839846112195518,0.9340447139470153,0.39598506276698947,-0.218966095459863,53.855702101832804,0.0269278510509164
mvo,B,0.003,0.09472328600218183,0.13588873044411606,0.7342658830822838,1.0043870789459353,0.4323734864597372,-0.219077461890121,21.127702929387514,0.010563851464693758
mvo,W-FRI,0.0,0.08816305324492535,0.13328954669207463,0.7007820212911277,0.9652065076285112,0.42306229502476045,-0.2083926038357199,40.16556378097678,0.020082781890488392
mvo,W-FRI,1e-05,0.08820309136100057,0.1333215379573958,0.7009219478224142,0.9653894421342846,0.42310671035497666,-0.20846535685288525,40.001494677629495,0.02000074733881475
mvo,W-FRI,3e-05,0.0882340583713932,0.13338392948276998,0.7008701659506872,0.965261423898373,0.42267207305705023,-0.2087529884177699,39.690266791193025,0.01984513339559651
mvo,W-FRI,0.0001,0.08830661086631131,0.13362301624086073,0.7003550588572035,0.9643745559354266,0.42072207348240376,-0.2098929826414364,38.51441457245731,0.019257207286228654
mvo,W-FRI,0.0003,0.08859727665403772,0.13426490596796375,0.6996385540773872,0.9629283340646512,0.41711839536759887,-0.21240318729160468,35.37064628437744,0.017685323142188722
mvo,W-FRI,0.001,0.08929281121805066,0.1354364417765265,0.6994851453638757,0.962055671363112,0.4158639730222177,-0.21471639048011537,26.419589275771852,0.013209794637885927
mvo,W-FRI,0.003,0.09927949358434285,0.1355880670768185,0.76621485999435,1.0547626047399923,0.49430457666659444,-0.2008468022971721,11.370523495361263,0.005685261747680632
mvo_ls,B,0.0,-0.03802307729451071,0.1422798101091743,-0.20114463531973603,-0.27186062603019234,-0.09918926051884798,-0.3833386507331159,184.5492531914677,0.09227462659573385
mvo_ls,B,1e-05,-0.03728098329195406,0.14227275025365985,-0.1957419295837867,-0.2645917406647948,-0.09782300924572045,-0.3811064858811326,183.28208384664507,0.09164104192332255
mvo_ls,B,3e-05,-0.035697809135450065,0.14226125853313756,-0.1842198283814315,-0.2490824413375897,-0.09468818976688731,-0.3770038187796645,180.79470342047216,0.09039735171023609
mvo_ls,B,0.0001,-0.03015406411088095,0.14220354360080187,-0.14404265850311515,-0.19496665408687686,-0.08290356713596814,-0.3637245676223557,172.5767256310969,0.08628836281554844
mvo_ls,B,0.0003,-0.015587677087684049,0.14214141803285055,-0.03929693956448906,-0.05338787900090342,-0.04722586920991726,-0.3300664942427506,153.03986439261897,0.07651993219630948
mvo_ls,B,0.001,0.010874727756010616,0.14253853210683687,0.14730584595679466,0.2016527544879839,0.038032880885363565,-0.2859296351698566,108.06340656099671,0.054031703280498354
mvo_ls,B,0.003,0.037017352921848046,0.14294934978985316,0.3259463944749487,0.4484244010568513,0.12849459905743021,-0.2880848937884406,47.16127499972806,0.023580637499864027
mvo_ls,W-FRI,0.0,0.027029072578912183,0.1414297882537132,0.25954086380058344,0.35258034404715066,0.10063901222450891,-0.26857450189013,75.890611704391,0.03794530585219551
mvo_ls,W-FRI,1e-05,0.0273205803940626,0.14143561267733676,0.2615424256428299,0.3553508185144334,0.10179838154356534,-0.2683793197868334,75.58916298964292,0.037794581494821455
mvo_ls,W-FRI,3e-05,0.027751767137156325,0.14145162781739729,0.26449526866695283,0.35944384792186923,0.10353382359225856,-0.2680454191129804,74.9983459521453,0.03749917297607265
mvo_ls,W-FRI,0.0001,0.029559373526507837,0.14158145258797072,0.27679285832248324,0.3765953090293554,0.1108589212767088,-0.2666395558073881,73.01644824844226,0.03650822412422113
mvo_ls,W-FRI,0.0003,0.03500313064049587,0.14199549548751578,0.31353447149096014,0.4280948095808992,0.1322594502648392,-0.2646550440849772,67.76756119176765,0.03388378059588384
mvo_ls,W-FRI,0.001,0.04318606552115556,0.14331122494902257,0.36691478011692474,0.5030123679996089,0.15797187620268063,-0.2733781895819677,51.76656904424367,0.02588328452212183
mvo_ls,W-FRI,0.003,0.05896444580988769,0.14237305077620052,0.47385439320756845,0.6492782769548918,0.22261485930552577,-0.2648720125594243,24.194172896789144,0.012097086448394575
