,realized_vol,realized_ret,frontier_ret,shortfall
equal_weight,0.11668495944301274,0.09894784659109752,0.14514803460359815,0.04620018801250063
erc,0.048148293464345536,0.04291792371478194,0.048377266851668925,0.005459343136886986
inverse_vol,0.062172699197779235,0.0525027149696553,0.07788362719730231,0.02538091222764701
mvo,0.13363318225799886,0.06396141460489192,0.16034980958790848,0.09638839498301656
mvo_ls,0.1422798101091743,-0.02861882051777115,,
