date,equal_weight,erc,inverse_vol,mvo,mvo_ls
2017-01-04,0.0,0.0,0.0,0.0,0.0
2017-01-05,0.0,0.0,0.0,-7.570987422544917e-05,-0.005799989515364423
2017-01-06,-0.0002659854041590082,-0.001125528389318009,-0.0008899225789332776,0.0,-0.0002962917811588639
2017-01-09,-0.002984952923481221,-0.0012632776105310217,-0.0014305667275051892,-0.012137335552034334,-0.014582526098591564
2017-01-10,-0.003419550124840409,-0.0015215525915908135,-0.0017439099534580782,-0.015495667836501248,-0.01990413676579217
2017-01-11,0.0,0.0,0.0,-0.006475876102805644,-0.010718908159542129
2017-01-12,0.0,0.0,0.0,-0.004097428283427518,-0.00917652559594917
2017-01-13,0.0,-0.0002554049811993586,-0.00018303302808109212,-0.004669715161936261,-0.009549001400104395
2017-01-17,0.0,0.0,0.0,-0.004391355028034005,-0.013816074999593808
2017-01-18,-0.0018459172243515676,-0.002052828449231714,-0.0018405564507080197,-0.001211260886491039,-0.005393658282571656
2017-01-19,-0.005455510470927294,-0.00413821196218378,-0.004126130583060661,-0.0029426441783784174,-0.0055422809240862625
2017-01-20,-0.002148085685487855,-0.0024087433384971657,-0.0021341268154551063,0.0,-0.002646684522826681
2017-01-23,-0.0008677928598801454,-0.0009356748100010082,-0.0006075118114424738,-0.002146091467390976,-0.005290100763505334
2017-01-24,0.0,-0.00020098423459968817,0.0,0.0,0.0
2017-01-25,0.0,0.0,0.0,0.0,0.0
2017-01-26,-0.0007344913352558269,-0.0001944957475922271,-0.0002886286770300561,0.0,0.0
2017-01-27,-0.002040750501905886,-0.00026640454603599206,-0.0005246111803602904,-0.004053213188032867,-0.004505949475326787
2017-01-30,-0.006582249684059183,-0.0022146726277990636,-0.002817221205755116,-0.014148058579465772,-0.012869144195235216
2017-01-31,-0.004015977831892115,-0.00046707608095053477,-0.0012019198331670866,-0.01322591032417686,-0.017191188126599366
2017-02-01,-0.004999900418915071,-0.0010972658005036218,-0.0018674146353861998,-0.011705983059124625,-0.015013522475565866
2017-02-02,-0.003118338760814021,-0.0001610147883850388,-0.000732099983565937,-0.01093605378371898,-0.015209076000094135
2017-02-03,0.0,0.0,0.0,-0.002555867057688732,-0.00939143989365998
2017-02-06,-0.0006899081628367609,0.0,0.0,-0.005132237049302546,-0.01556157547864434
2017-02-07,-0.0015315481458206825,-0.00014048425961687983,-0.00016064505609514335,-0.010800154815179708,-0.02278643979132733
2017-02-08,0.0,0.0,0.0,-0.007484734063159193,-0.02335280818008234
2017-02-09,0.0,-0.0003411008699987228,-8.160932223066908e-05,-0.003068451117152926,-0.01387091225166559
2017-02-10,0.0,0.0,0.0,0.0,-0.007882256663120812
2017-02-13,0.0,0.0,0.0,0.0,-0.0031005502476346702
2017-02-14,0.0,-0.00020464725581204046,-0.0002529227817890112,0.0,-0.002496573456996387
2017-02-15,0.0,0.0,0.0,0.0,-0.0048594570968181205
2017-02-16,0.0,0.0,0.0,-0.004197620733834451,-0.008739549033708327
2017-02-17,0.0,0.0,0.0,-0.005691028953805355,-0.010089489750700231
2017-02-21,0.0,0.0,0.0,-0.002145020411334242,-0.008514699198967413
2017-02-22,-0.000529948619392373,0.0,0.0,-0.007421830911767957,-0.013790206241023006
2017-02-23,0.0,0.0,0.0,-0.00704586783444805,-0.01779669521192684
2017-02-24,0.0,0.0,0.0,-0.008806692052183762,-0.030317599807451856
2017-02-27,-0.00023785990005775748,-0.0007578670161159096,-0.0007103403912547268,-0.008785331006459063,-0.026461559865155748
2017-02-28,-0.0014228114027272643,-0.0014257483249132674,-0.0015840875667818555,-0.0111731617760229,-0.03185099562426008
2017-03-01,0.0,0.0,0.0,0.0,-0.009061495238814943
