,ann_vol,cagr
equal_weight,0.11668495944301274,0.09647509856401526
erc,0.048148293464345536,0.04263959833441233
inverse_vol,0.062172699197779235,0.05186230548083692
mvo,0.13363318225799886,0.05654278723856643
mvo_ls,0.1422798101091743,-0.03802307729451071
SPY,0.17991116412292352,0.15283151867110134
