date,equal_weight,erc,inverse_vol,mvo,mvo_ls,SPY
2017-01-04,1.0055180043657075,1.0023086337271718,1.0028389080979068,1.0051404279987994,0.9955117235434248,
2017-01-05,1.0087447934843463,1.0048800355012142,1.0053463150830368,1.0050643289434167,0.9897377659844505,0.9991834234969889
2017-01-06,1.008476482092758,1.0037490144933987,1.0044516346975971,1.0075432493308645,0.9952167616016916,1.003215269980606
2017-01-09,1.0057337377639888,1.003610593051096,1.0039081000950592,0.9953143588305488,0.9809946478533988,0.9999999999999998
2017-01-10,1.0052953400998548,1.0033510576789595,1.0035930816374912,0.9919306938083242,0.975696922046067,0.999795855874247
2017-01-11,1.009081674428621,1.0051269821810611,1.0055782070550419,1.0010185240799796,0.9848409248070153,1.0022455853832803
2017-01-12,1.0094269309862873,1.0054664705694096,1.0058872378905521,1.0034149131242798,0.9863763847312611,1.0001020720628762
2017-01-13,1.009730244073467,1.0052096694243973,1.0057031273034929,1.0028383093431577,0.9860055807014882,1.0022966214147184
2017-01-17,1.0111528368999088,1.0067608380044941,1.0073580191559515,1.0031187692169536,0.981757658907974,0.9989282433397976
2017-01-18,1.0092863324618233,1.0046941307146662,1.0055039198556215,1.006322851601502,0.9901422734903376,1.0009696845973255
2017-01-19,1.0056364820104935,1.0025946482616057,1.0032015284250206,1.0045784080537565,0.9899943179083258,0.997703378585281
2017-01-20,1.0089807939651236,1.004335809542491,1.005208189394507,1.0103755865923096,0.9928769180724298,1.0009696845973253
2017-01-23,1.0102753656877994,1.0058188372486778,1.006746037260963,1.0082072281670638,0.9902453662146292,0.9984178830254155
2017-01-24,1.0139006298140951,1.0065584949480428,1.0080020980000695,1.0172138213695587,0.9986104847854788,1.0047463509237518
2017-01-25,1.0163140972198592,1.0067873179474138,1.0086926564272027,1.0198293724831746,1.0026099599212894,1.0133714402368066
2017-01-26,1.015567623321553,1.0065915020953433,1.0084015188002482,1.0218713795038372,1.005268156966473,1.0124017556394809
2017-01-27,1.0142400537158638,1.0065191052290212,1.0081634849820937,1.017729516951959,1.0007384694420272,1.010870674696335
2017-01-30,1.0096244640745289,1.0045576136323404,1.0058509460854266,1.0074138833659374,0.9923312160995931,1.0047463509237515
2017-01-31,1.0122326023351849,1.0063170716725962,1.0074802887178729,1.0083562002756765,0.9879864029623825,1.004338062672246
2017-02-01,1.0112326279394204,1.0056826046550493,1.006809008997984,1.009909370446761,0.9901755408978862,1.0049504950495043
2017-02-02,1.0131448855773368,1.0066252103004658,1.0079541925500093,1.0106961391375402,0.9899789571666954,1.0055118913953245
2017-02-03,1.0172062402998447,1.008277807043027,1.0097309948432573,1.0192596121077684,0.995827241493312,1.0124527916709192
2017-02-06,1.0165044614113734,1.0091806656090523,1.010255144098774,1.0166268933503257,0.9896246006655616,1.0108196386648969
2017-02-07,1.0156483399685963,1.0090388916104245,1.0100928516044798,1.0108350104039945,0.9823616746336179,1.0107686026334586
2017-02-08,1.0192006962861972,1.0114561254702528,1.0127088232558266,1.0142229439814974,0.98179232252729,1.0119934673879751
2017-02-09,1.0207340516482966,1.0111111169058893,1.0126261767751437,1.018735817127812,0.9913241705717974,1.0178626110033675
2017-02-10,1.0248850317597025,1.0127628482935576,1.0145949314911806,1.0266175403837499,0.9973443753380008,1.021894457486985
2017-02-13,1.0266059619075651,1.0131486168694903,1.0152628414541023,1.0302898101089264,1.0021512725334514,1.0271511687251191
2017-02-14,1.0271319703896762,1.0129412787853183,1.0150060583519946,1.0323182340205534,1.0027584311686268,1.0316933755231186
2017-02-15,1.029405860569646,1.013743144946899,1.0159764789296877,1.0334100801901094,1.000383099486897,1.0369500867612529
2017-02-16,1.02965549826252,1.0144369617244904,1.0166512149866263,1.0290722166109498,0.9964825666166389,1.0362866183525563
2017-02-17,1.0302396306278443,1.015392907449563,1.0176226914339495,1.0275289135025931,0.9951255142000545,1.0376135551699492
2017-02-21,1.03476835176164,1.0172392287119427,1.0200333289978059,1.031193394474823,0.9967086009956031,1.043788914973971
2017-02-22,1.034219977702233,1.0172749058712536,1.0200754062123198,1.0257402853124218,0.9914053017543722,1.0431254465652744
2017-02-23,1.0361154151190346,1.018584344578976,1.0213059172618515,1.0261288093463035,0.9873777059706852,1.0437889149739712
2017-02-24,1.037761723303482,1.020287021142224,1.0230461046899095,1.0243091558502526,0.9747908392843888,1.0452179238542407
2017-02-27,1.0375148814036932,1.019513779261929,1.0223193937196324,1.024331230570228,0.9786671934503699,1.0466469327345103
2017-02-28,1.0362851840902518,1.0188323486308997,1.0214255100752256,1.0218636221831725,0.9732493652977259,1.0440440951311623
2017-03-01,1.042516260633664,1.020580697150633,1.023696709600839,1.03974381041052,0.996158924348389,1.0583341839338571
2017-03-02,1.0358832343338653,1.0167628872880001,1.0198254871375845,1.025737065359204,0.9880089183704156,1.0520057160355207
2017-03-03,1.0369970571008509,1.0174883075269663,1.0205240529889894,1.0292164507522197,0.9886100445266307,1.052567112381341
2017-03-06,1.034099222268888,1.0160091388851893,1.018904091686468,1.0270052368611078,0.9889776224993156,1.049709094620802
2017-03-07,1.0303613075842146,1.0136429059613414,1.0163573532660524,1.0228590826341664,0.9857341090094919,1.0462386444830047
2017-03-08,1.0240640736068563,1.010225606484566,1.01270364075465,1.0148471666224121,0.9763773474711174,1.044452383382668
2017-03-09,1.0216275853110173,1.0087047453907623,1.0110185742030118,1.0128695114947253,0.9722679429068526,1.0454731040114318
2017-03-10,1.024279881463178,1.0103157419055453,1.012915647567254,1.0128374412385788,0.9700565362804294,1.0491476982749819
2017-03-13,1.0253055561838924,1.0100091970551603,1.0129011503028238,1.0126739081529632,0.9708094050241456,1.0497601306522404
2017-03-14,1.0220677300421974,1.0086499405632423,1.0112648981173418,1.0058964923620943,0.9658317147544427,1.045983464325814
