risk_aversion,ann_vol,ann_ret
3000.0,0.046602159548962664,0.039317632687992404
2221.7054076787313,0.046602680640145895,0.03937947550759901
1645.324972836305,0.04660363098105355,0.03946299629142295
1218.4757965130943,0.046605365133093914,0.03957581921264402
902.36475541293,0.04660852362793993,0.03972819298635906
668.2628855998672,0.04661432264662168,0.039934725767882484
494.8944222294064,0.046624783492303194,0.04021234538378489
366.50320469903767,0.046646171128597286,0.04062955717428895
271.4207172704789,0.04668626796214598,0.041212998869116876
201.00562510528758,0.046759630078197605,0.042004691095348747
148.85842809008716,0.046893148967154144,0.04307389627673674
110.23985822210068,0.04713552463472387,0.044517460907873736
81.64016305125921,0.04757446023511256,0.04646723423378553
60.460130578251984,0.04909286056061581,0.05152130569735793
44.77486635155486,0.05162177015165443,0.0579847978984314
33.15885423378064,0.05671871627788461,0.06849750706324029
24.556401921207083,0.06542948474927475,0.08348844497656388
18.185696980492715,0.07641051151921,0.09963197827815473
13.467753774655813,0.09133839043963772,0.11941583889390164
9.973793796812824,0.10124469514197579,0.1305893689526014
7.386277204483876,0.1225740721529743,0.15070089440274081
5.470044002605324,0.13492480347971392,0.16147673060608597
4.050942113609619,0.13726837684630783,0.16309639660977085
3.0,0.13948043246055422,0.1640858870853067
